batch_size,dec_init,dec_layers,dec_rnn,dec_size,device,dropout,enc_cnn,enc_dec_hidden_init,enc_init,enc_layers,enc_rnn,enc_size,exp_name,i3d,i3d_after,ind_size,learning_rate,lmbda_norm,max_epochs,mini,neg_pred_weight,no_chkpt,norm_threshold,num_frames,optimizer,output_cnn_size,overwrite,patience,pred_embeddings_assist,pred_margin,quick_run,reload,setting,shuffle,sigmoid_mlp,teacher_forcing_ratio,verbose,weight_decay,acchalf,avg_neg_prob,avg_norm,avg_pos_prob,best_acc,cos_similarity,dset_fragment,f1,f1half,fn,fnhalf,fp,fphalf,l2_distance,legit_f1,pat_distance,pat_norm,thresh,tn,tnhalf,tp,tphalf
100,unit,2,lstm,2500.0,cuda,0.1,vgg,False,unit,2,lstm,3000.0,jade4-14,True,False,10,0.001,1.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.004996846850840984,0.8992,0.003750327352378242,0.6426291079812206,0.875,val,0.13866674253621378,0.0001,231,384,1672,0,0.5285,0.13866674253621378,0.44415709169806383,0.8991774915760569,6.846850840924214e-06,3269,4941,153,0
100,unit,2,lstm,2500.0,cuda,0.1,vgg,False,unit,2,lstm,3000.0,jade4-15,True,False,10,0.001,0.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.006246307677466888,0.8853,0.005296304684321962,0.07211267605633803,0.8757,val,0.13469932120914796,0.0001,0,384,4941,0,0.5146,0.13469932120914796,0.42773768121457134,0.8853440698674823,-0.0037536923225331125,0,4941,384,0
100,unit,2,lstm,2500.0,cuda,0.1,vgg,False,unit,2,lstm,3000.0,jade4-16,True,False,10,0.001,1.0,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.002686336355078052,0.9343,0.0024553541521195373,0.6503286384976525,0.8774,val,0.1460134819157898,0.0001,225,384,1637,0,0.5163,0.1460134819157898,0.4292485495437986,0.9343388095697952,6.33635507796531e-06,3304,4941,159,0
100,unit,2,lstm,2500.0,cuda,0.1,vgg,False,unit,2,lstm,3000.0,jade4-17,True,False,10,0.001,1.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.002576693483032451,0.9465,0.0025368639307388366,0.6944600938967136,0.8765,val,0.13883290912033383,0.0001,253,384,1374,0,0.5125,0.13883290912033383,0.4281230699465278,0.9464528855552616,1.669348303236229e-05,3567,4941,131,0
100,unit,2,lstm,1250.0,cuda,0.1,vgg,False,unit,2,lstm,1500.0,jade4-18,True,False,10,0.0003,0.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.002416145151892883,0.8653,0.002051486172043406,0.07211267605633803,0.875,val,0.13469932120914796,0.0001,0,384,4941,0,0.5199,0.13469932120914796,0.4430516673315833,0.8653439997560755,-0.007583854848107117,0,4941,384,0
100,unit,2,lstm,1250.0,cuda,0.1,vgg,False,unit,2,lstm,1500.0,jade4-19,True,False,10,0.0003,1.0,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.0021890976007587193,0.9011,0.0019936938632243695,0.07211267605633803,0.8729,val,0.13469932120914796,0.0001,0,384,4941,0,0.5239,0.13469932120914796,0.44424402642711974,0.9011000781229818,-0.0078109023992412804,0,4941,384,0
100,unit,2,lstm,1250.0,cuda,0.1,vgg,False,unit,2,lstm,1500.0,jade4-20,True,False,10,0.0003,1.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.0018889526267111953,0.895,0.0018504690561238237,0.07211267605633803,0.8711,val,0.13469932120914796,0.0001,0,384,4941,0,0.5364,0.13469932120914796,0.4511796830974286,0.8949823059730132,-0.008111047373288806,0,4941,384,0
100,unit,2,lstm,1250.0,cuda,0.1,vgg,False,unit,2,lstm,1500.0,jade4-21,True,False,10,0.0003,0.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.003868724884113273,0.9036,0.0029207682478522225,0.07211267605633803,0.8779,val,0.13469932120914796,0.0001,0,384,4941,0,0.5097,0.13469932120914796,0.4247615439969985,0.9036059121971869,-0.0061312751158867276,0,4941,384,0
100,unit,2,lstm,1250.0,cuda,0.1,vgg,False,unit,2,lstm,1500.0,jade4-22,True,False,10,0.0003,1.0,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.0046511800923253795,0.9277,0.003985226183533734,0.7436619718309859,0.8788,val,0.15597169112526824,0.0001,258,384,1107,0,0.5029,0.15597169112526824,0.42205250687375334,0.9277071418065783,5.1180092325315424e-05,3834,4941,126,0
100,unit,2,lstm,1250.0,cuda,0.1,vgg,False,unit,2,lstm,1500.0,jade4-23,True,False,10,0.0003,1.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.004696158160083183,0.9043,0.0036435822950714306,0.6784976525821597,0.8787,val,0.14924356541766037,0.0001,234,384,1478,0,0.5041,0.14924356541766037,0.4235087886075149,0.9043275722803551,6.158160083119535e-06,3463,4941,150,0
